ano,tipo_despesa,esfera_governo,valor_despesa
2022,Serviços gerais,Governos Municipais,0.007610379299688079
2022,Serviços gerais,Coluna de Consolidação,-1.6670653728142936e-05
2022,Serviços gerais,Governo Geral,0.008412549998490018
2023,Serviços gerais,Governo Central,0.0004648845359432271
2023,Serviços gerais,Governos Estaduais,0.0005302683892124188
2023,Serviços gerais,Governos Municipais,0.007548057109451495
2023,Serviços gerais,Coluna de Consolidação,-1.5695125062057608e-05
2023,Serviços gerais,Governo Geral,0.008527514909545085
2024,Serviços gerais,Governo Central,0.00036572376041079405
2024,Serviços gerais,Governos Estaduais,0.00047610646409196284
2024,Serviços gerais,Governos Municipais,0.007845996461508015
2024,Serviços gerais,Coluna de Consolidação,-1.5481476642742216e-05
2024,Serviços gerais,Governo Geral,0.008672345209368031
2010,Pesquisa básica,Governo Central,0.0003014511019424275
2010,Pesquisa básica,Governos Estaduais,0.0
2010,Pesquisa básica,Governos Municipais,1.592924575377606e-05
2010,Pesquisa básica,Coluna de Consolidação,-3.198860894227758e-05
2010,Pesquisa básica,Governo Geral,0.00028539173875392594
2011,Pesquisa básica,Governo Central,0.00025340965005505906
2011,Pesquisa básica,Governos Estaduais,0.0
2011,Pesquisa básica,Governos Municipais,5.229839098001403e-06
2011,Pesquisa básica,Coluna de Consolidação,-9.725971860373103e-06
2011,Pesquisa básica,Governo Geral,0.00024891351729268733
2012,Pesquisa básica,Governo Central,0.00030091671087273267
2012,Pesquisa básica,Governos Estaduais,0.0
2012,Pesquisa básica,Governos Municipais,1.7257197950212677e-05
2012,Pesquisa básica,Coluna de Consolidação,-1.025264361299073e-05
2012,Pesquisa básica,Governo Geral,0.0003079212652099546
2013,Pesquisa básica,Governo Central,0.00025004791552690357
2013,Pesquisa básica,Governos Estaduais,0.0
2013,Pesquisa básica,Governos Municipais,6.703017449274722e-06
2013,Pesquisa básica,Coluna de Consolidação,-1.270415794043419e-05
2013,Pesquisa básica,Governo Geral,0.0002440467750357441
2014,Pesquisa básica,Governo Central,0.00032207764892247797
2014,Pesquisa básica,Governos Estaduais,0.0
2014,Pesquisa básica,Governos Municipais,1.863523767587966e-05
2014,Pesquisa básica,Coluna de Consolidação,-1.0539253475008503e-05
2014,Pesquisa básica,Governo Geral,0.0003301736331233491
2015,Pesquisa básica,Governo Central,0.00026947455058416416
2015,Pesquisa básica,Governos Estaduais,0.0
2015,Pesquisa básica,Governos Municipais,2.2824089666401356e-05
2015,Pesquisa básica,Coluna de Consolidação,-8.913869079607676e-06
2015,Pesquisa básica,Governo Geral,0.0002833847711709578
2016,Pesquisa básica,Governo Central,0.0002644285657492426
2016,Pesquisa básica,Governos Estaduais,0.0
2016,Pesquisa básica,Governos Municipais,1.1719394321455068e-05
2016,Pesquisa básica,Coluna de Consolidação,-8.258299193811515e-06
2016,Pesquisa básica,Governo Geral,0.0002678896608768861
2017,Pesquisa básica,Governo Central,0.00021305765463676513
2017,Pesquisa básica,Governos Estaduais,0.0
2017,Pesquisa básica,Governos Municipais,1.3379728357694636e-05
2017,Pesquisa básica,Coluna de Consolidação,-3.070363289171854e-06
2017,Pesquisa básica,Governo Geral,0.00022336701970528792
2018,Pesquisa básica,Governo Central,0.0001855372095275006
2018,Pesquisa básica,Governos Estaduais,0.0
2018,Pesquisa básica,Governos Municipais,1.7719711331806545e-05
2018,Pesquisa básica,Coluna de Consolidação,-3.142936307255262e-06
2018,Pesquisa básica,Governo Geral,0.00020011398455205192
2019,Pesquisa básica,Governo Central,0.0001893478734481701
2019,Pesquisa básica,Governos Estaduais,0.0
2019,Pesquisa básica,Governos Municipais,2.58008202481385e-05
